name,version,url,dependency,dependency_version,dependency_url
ABSSeq,1.54.0,https://www.bioconductor.org/packages/release/bioc/html/ABSSeq.html,R,,
ABSSeq,1.54.0,https://www.bioconductor.org/packages/release/bioc/html/ABSSeq.html,methods,,
ABSSeq,1.54.0,https://www.bioconductor.org/packages/release/bioc/html/ABSSeq.html,locfit,,
ABSSeq,1.54.0,https://www.bioconductor.org/packages/release/bioc/html/ABSSeq.html,limma,3.56.0,https://www.bioconductor.org/packages/release/bioc/html/limma.html
AMOUNTAIN,1.26.0,https://www.bioconductor.org/packages/release/bioc/html/AMOUNTAIN.html,R,,
AMOUNTAIN,1.26.0,https://www.bioconductor.org/packages/release/bioc/html/AMOUNTAIN.html,stats,,
ASEB,1.44.0,https://www.bioconductor.org/packages/release/bioc/html/ASEB.html,R,,
ASEB,1.44.0,https://www.bioconductor.org/packages/release/bioc/html/ASEB.html,methods,,
ASEB,1.44.0,https://www.bioconductor.org/packages/release/bioc/html/ASEB.html,graphics,,
ASEB,1.44.0,https://www.bioconductor.org/packages/release/bioc/html/ASEB.html,utils,,
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,R,,
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,BiocGenerics,0.46.0,https://www.bioconductor.org/packages/release/bioc/html/BiocGenerics.html
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,S4Vectors,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/S4Vectors.html
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,BSgenome,1.68.0,https://www.bioconductor.org/packages/release/bioc/html/BSgenome.html
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,Biostrings,2.68.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,ChIPpeakAnno,3.34.1,https://www.bioconductor.org/packages/release/bioc/html/ChIPpeakAnno.html
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,IRanges,2.34.0,https://www.bioconductor.org/packages/release/bioc/html/IRanges.html
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,GenomicRanges,1.52.0,https://www.bioconductor.org/packages/release/bioc/html/GenomicRanges.html
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,GenomicAlignments,1.36.0,https://www.bioconductor.org/packages/release/bioc/html/GenomicAlignments.html
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,GenomeInfoDb,1.36.0,https://www.bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,GenomicScores,2.12.0,https://www.bioconductor.org/packages/release/bioc/html/GenomicScores.html
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,graphics,,
ATACseqQC,1.24.0,https://www.bioconductor.org/packages/release/bioc/html/ATACseqQC.html,grid,,
